#           X                Y                 Ex                Ey                Ez                E 
      0.3482000000     16.7136000000     10.5450131480    -21.1703471239      0.0000000000     23.6512346324
      0.3482000000     16.8877000000     20.1951965941    -30.3317979336      0.0000000000     36.4398673345
      0.3482000000     17.0618000000     41.9170365040    -41.9170365040      0.0000000000     59.2796415184
      0.3482000000     17.2359000000     84.9113618599    -42.4189374022      0.0000000000     94.9173620748
      0.3482000000     17.4100000000    118.6976623005      0.0712804775     -0.0000000000    118.6976837032
      0.5223000000      0.0000000000     52.7153154150     -0.0734500985      0.0000000000     52.7153665853
      0.5223000000      0.1741000000     44.9967027825     14.9484229554      0.0000000000     47.4147509764
      0.5223000000      0.3482000000     30.3317979336     20.1951965941      0.0000000000     36.4398673345
      0.5223000000      0.5223000000     18.5858214830     18.5858214830      0.0000000000     26.2843208091
      0.5223000000      0.6964000000     11.3227605168     15.1245662702      0.0000000000     18.8933165586
      0.5223000000      0.8705000000      7.1076705671     11.9027979899      0.0000000000     13.8634620812
      0.5223000000      1.0446000000      4.6377689618      9.3629491307      0.0000000000     10.4486227498
      0.5223000000      1.2187000000      3.1406712435      7.4480051957     -0.0000000000      8.0831056690
      0.5223000000      1.3928000000      2.1967913177      6.0119016764      0.0000000000      6.4006916705
